countries_name,countries_dive_name,countries_dive_avg_depth,latitudes,longitudes
Illinois,Pearl Lake,7.6 m,"42° 28.866' N","89° 1.551' W"
Illinois,St. Mary,35.1 m,"42° 11.484' N","87° 35.927' W"
Illinois,Straits of Mackinack,19.8 m,"42° 2.73' N","87° 30.888' W"
Illinois,Strode Lake,12.2 m,"40° 35.125' N","90° 2.992' W"
Illinois,Wells Burt,12.2 m,"42° 2.748' N","87° 37.082' W"
Indiana,France Park,m,"40° 45.229' N","86° 27.421' W"
Iowa,Big Creek,9.1 m,"41° 48.859' N","93° 44.512' W"
Kentucky,Blue Springs,20 m,"36° 51.624' N","87° 27.992' W"
Kentucky,Cerulean Springs,m,"36° 54.639' N","87° 54.54' W"
Kentucky,Pennyroyal,15 m,"36° 51.676' N","87° 27.968' W"
Maine,Beauchamp Point,6.1 m,"44° 10.739' N","69° 4.016' W"
Maine,Cape Neddick Nubble,16 m,"43° 9.955' N","70° 35.515' W"
Maine,City Of Portland,6.1 m,"44° 2.272' N","69° 3.794' W"
Maine,F.C. Pendleton,12.2 m,"44° 19.615' N","68° 54.674' W"
Maine,Little Hunters Beach,7.6 m,"44° 17.872' N","68° 12.692' W"
Maine,Sand Beach,7.6 m,"44° 19.702' N","68° 10.945' W"
Maine,The Graves,7.6 m,"44° 10.932' N","69° 3.083' W"
Maine,Wreck of the Irvington,15.2 m,"44° 0.565' N","69° 2.445' W"
Maryland,Fort Carroll,15 m,"39° 12.92' N","76° 31.118' W"
Maryland,Hydes Quarry,9.1 m,"39° 33.923' N","77° 4.292' W"
Maryland,Woodsboro Quarry (550),19.8 m,"39° 31.76' N","77° 17.885' W"
Massachusetts,Andrea Doria,53.3 m,"40° 29.408' N","69° 52.046' W"
Massachusetts,Brant Rock,7.9 m,"42° 5.577' N","70° 38.703' W"
Massachusetts,City of Rockland Wreck,2 m,"42° 32.746' N","70° 47.853' W"
Massachusetts,Corporation Beach,3 m,"41° 45.113' N","70° 11.31' W"
Massachusetts,Folly Cove,9.1 m,"42° 41.099' N","70° 38.522' W"
Massachusetts,Garbage Beach,10.7 m,"41° 31.5' N","70° 40.334' W"
Massachusetts,Hathaway's Pond,12.2 m,"41° 41.063' N","70° 18.742' W"
Massachusetts,Haviland Pond,4.6 m,"42° 10.32' N","72° 28.644' W"
Massachusetts,Magnolia Rocks,10 m,"42° 34.31' N","70° 42.738' W"
Massachusetts,Mares Pond,10.7 m,"41° 35.327' N","70° 35.855' W"
Massachusetts,Niles Beach,4.6 m,"42° 35.864' N","70° 39.282' W"
Massachusetts,Normans Woe,12.2 m,"42° 34.61' N","70° 42.1' W"
Massachusetts,Old Garden Beach,6.1 m,"42° 39.497' N","70° 36.454' W"
Massachusetts,Russell Pond,4.6 m,"42° 9.417' N","72° 51.655' W"
Massachusetts,Sandwich Town Beach,6.1 m,"41° 46.118' N","70° 29.099' W"
Massachusetts,The Crane,43 m,"42° 36.855' N","70° 35.229' W"
Massachusetts,White Beach,7.6 m,"42° 34.609' N","70° 44.167' W"
Michigan,America Wreck,9.1 m,"47° 53.62' N","89° 13.239' W"
Michigan,Anita's Wreck,5.8 m,"42° 42.929' N","82° 29.52' W"
Michigan,Bermuda Wreck,7 m,"46° 27.762' N","86° 38.95' W"
Michigan,Car Bodies,5.5 m,"44° 54.338' N","85° 23.152' W"
Michigan,Depot beach,5 m,"45° 19.103' N","85° 14.432' W"
Michigan,Eliza H. Strong,8.5 m,"43° 15.709' N","82° 30.581' W"
Michigan,Elmwood Wreck,10 m,"44° 47.261' N","85° 38.115' W"
Michigan,Higgins lake,13.4 m,"44° 30.143' N","84° 46.509' W"
Michigan,Ironsides Wreck,35.1 m,"43° 2.898' N","86° 19.146' W"
Michigan,Lake Fenton,10 m,"42° 50.587' N","83° 43.093' W"
Michigan,Marquette Upper Harbor,8.4 m,"46° 34.717' N","87° 23.267' W"
Michigan,Mary Alice B,27.4 m,"43° 22.309' N","82° 26.301' W"
Michigan,Myron Wreck,12.2 m,"46° 47.214' N","85° 8.313' W"
Michigan,Mystic wreck,13.7 m,"46° 47.327' N","85° 5.511' W"
Michigan,Sadie Thompson Wreck,33.2 m,"46° 42.386' N","85° 0.197' W"
Michigan,Smith Moore Wreck,22.9 m,"46° 27.762' N","86° 36.478' W"
Michigan,Spring Mill Pond,10 m,"42° 29.38' N","83° 43.423' W"
Michigan,Straits of Mackinaw,15 m,"45° 47.307' N","84° 43.89' W"
Michigan,Three Brothers,6.1 m,"45° 0.548' N","86° 5.453' W"
Michigan,Vienna,36 m,"46° 44.767' N","84° 58.517' W"
Minnesota,Crosby Mine Pit,3 m,"46° 29.521' N","93° 57.681' W"
Minnesota,Louise Mine Pitt,12.2 m,"46° 29.45' N","93° 59.798' W"
Minnesota,Madiera,10.7 m,"47° 12.372' N","91° 21.473' W"
Missouri,Bonne Terre Mine,15.2 m,"37° 55.506' N","90° 32.918' W"
Missouri,Captain John's Dive Park,13.7 m,"37° 11.426' N","94° 28.443' W"
Missouri,Duck Island,6.1 m,"36° 35.126' N","93° 19.231' W"
Missouri,Table Rock Lake,30.5 m,"36° 35.661' N","93° 18.712' W"
Missouri,The Dive Stop,12.2 m,"38° 43.973' N","90° 52.613' W"
Montana,Canyon Ferry Cemetery Island,15.2 m,"46° 38.018' N","111° 42.432' W"
Montana,Cliff Lake,4.6 m,"44° 46.716' N","111° 33.444' W"
Montana,Kim's Marina,9.1 m,"46° 38.972' N","111° 42.036' W"
Montana,Old Canyon Ferry Dam and power plant,24.4 m,"46° 38.126' N","111° 41.903' W"
Nevada,Lake Mead - Wreck Alley,36.6 m,"36° 3.447' N","114° 44.581' W"
Nevada,Sand Harbor,9.1 m,"39° 11.932' N","119° 55.941' W"
Nevada,Sparks Marina,18.3 m,"39° 32.04' N","119° 43.833' W"
Nevada,Zephyr Cove,8 m,"39° 0.455' N","119° 57.099' W"
New Hampshire,Split Rock,10 m,"43° 21.653' N","72° 3.606' W"
New Hampshire,The Plateau,9 m,"43° 20.829' N","72° 2.985' W"
New Hampshire,Three Old Boats,6 m,"43° 22.414' N","72° 4.261' W"
New Hampshire,Weetamoo Wreck,18.3 m,"43° 20.093' N","72° 2.517' W"
New Jersey,Adventure Aquarium,6.7 m,"39° 56.697' N","75° 7.883' W"
New Jersey,Great Isaac,25.9 m,"39° 40.007' N","73° 54.974' W"
New Jersey,U-869 Wreck,65 m,"39° 33.822' N","73° 2.064' W"
New Jersey,USS Algol,33.5 m,"40° 11.551' N","73° 51.335' W"
New Mexico,Blue Hole,15 m,"34° 56.429' N","104° 40.394' W"
New Mexico,Lea Lake,18 m,"33° 19.078' N","104° 19.845' W"
New York,A.E. Vickery,m,"44° 16.825' N","76° 1.122' W"
New York,American,16.9 m,"44° 27.212' N","75° 48.527' W"
New York,Keystorm,20 m,"44° 25.781' N","75° 49.353' W"
New York,Lake Minnewaska State Park,10 m,"41° 43.664' N","74° 14.154' W"
New York,Radeau,32.6 m,"43° 25.982' N","73° 41.937' W"
New York,Rogers Rock,18 m,"43° 45.049' N","73° 29.114' W"
New York,Seneca Lake FLUPA buoy The Steps,13.7 m,"42° 24.257' N","76° 53.189' W"
New York,Seneca Lake Watkins Glen Barges,9.1 m,"42° 23.225' N","76° 52.62' W"
